ID,Title,ShortTitle,SubjectType,ControlType,IsDistant,Departments - DepartmentId → ID,Departments - DepartmentId → Title,Faculties - FacultyId → ID,Faculties - FacultyId → Title,SemesterSeasons - SemesterSeasonId → Year,SemesterSeasons - SemesterSeasonId → Season
2282,Инструменты визуализации и анализа данных,ИВиАД,Лек,,true,14,каф.МОЭВМ,3,ФКТИ,2023,autumn
2283,Средства параллельного программирования,СрПарПр,Лек,,true,6,каф.ВТ,3,ФКТИ,2023,autumn
2284,Методы обработки данных (классические байесовские фильтры),МОД(КБФ),Лек,,true,14,каф.МОЭВМ,3,ФКТИ,2023,autumn
2285,Перспективная силовая электроника,ПерспСЭ,Лек,Экз,false,25,каф.САУ,4,ФЭА,2023,autumn
2286,Автоматические электроприводные системы машин и технологических комплексов,АЭСМиТК,Лек,Экз,false,23,каф.РАПС,4,ФЭА,2023,autumn
2287,Нелинейное и адаптивное управление в технических системах,НиАУвТС,Лек,Экз,true,25,каф.САУ,4,ФЭА,2023,autumn
2288,Автоматические электроприводные системы машин и технологических комплексов,АЭСМиТК,Пр,,false,23,каф.РАПС,4,ФЭА,2023,autumn
2289,Энергосбережение в электротехнических комплексах и системах,ЭнЭТКиС,Лек,Экз,false,23,каф.РАПС,4,ФЭА,2023,autumn
2290,Машинное обучение и анализ данных,МОиАД,Пр,,true,25,каф.САУ,4,ФЭА,2023,autumn
2291,Энергосбережение в электротехнических комплексах и системах,ЭнЭТКиС,Пр,,false,23,каф.РАПС,4,ФЭА,2023,autumn
2292,Акустическое проектирование электроэнергетического оборудования,АкПрЭЭО,Пр,,false,25,каф.САУ,4,ФЭА,2023,autumn
2293,Перспективная силовая электроника,ПерспСЭ,Лаб,,false,25,каф.САУ,4,ФЭА,2023,autumn
2294,Энергоменеджмент,ЭнМен,Лек,ЗчО,true,19,каф.ПЭ,6,ИНПРОТЕХ,2023,autumn
2295,Энергосбережение и качество электрической энергии в энергосистемах (Energy Saving and Quality of Electric Energy in Power Systems),ЭиКЭЭвЭC(ES&QEEPS),Пр,,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
2296,Энергосбережение и качество электрической энергии в энергосистемах (Energy Saving and Quality of Electric Energy in Power Systems),ЭиКЭЭвЭC(ES&QEEPS),Лек,Экз,false,37,каф.ЭТПТ,4,ФЭА,2023,autumn
1704,Методы обработки и анализа биомедицинских сигналов и данных,МОиАБСиД,Пр,,true,3,каф.БТС,5,ФИБС,2023,autumn
2297,Методы обработки и анализа биомедицинских сигналов и данных,МОиАБСиД,Лек,ЗчО,true,3,каф.БТС,5,ФИБС,2023,autumn
2298,Цифровая обработка сигналов,ЦОС,Пр,,true,28,каф.ТОР,1,ФРТ,2023,autumn
2299,Моделирование систем,МодСист,Пр,,true,2,каф.ИС,3,ФКТИ,2023,autumn
2300,Моделирование систем,МодСист,Лек,Экз,true,2,каф.ИС,3,ФКТИ,2023,autumn
2301,Основы тестирования программного обеспечения,ОТПО,Пр,,true,2,каф.ИС,3,ФКТИ,2023,autumn
2302,Основы тестирования программного обеспечения,ОТПО,Лек,ЗчО,true,2,каф.ИС,3,ФКТИ,2023,autumn
1856,Программное обеспечение систем реального времени,ПОСРВ,Лек,Экз,true,14,каф.МОЭВМ,3,ФКТИ,2023,autumn
1855,Программное обеспечение систем реального времени,ПОСРВ,Пр,,true,14,каф.МОЭВМ,3,ФКТИ,2023,autumn
2303,"Междисциплинарный проект 'Проектирование и внедрение интегрированных систем менеджмента""",МП'иВИСМ,Пр,ЗчО,false,15,каф.МСК,6,ИНПРОТЕХ,2023,autumn
