ID ЛК,НомерЛД,Иностранец,Курс,finans,status,Уровень образования,Форма образования
329630,2660118,False,2,Бюджет,Учащийся,Магистратура,Очная форма
329631,2190418,True,2,Бюджет,Учащийся,Магистратура,Очная форма
329637,6560318,False,2,Бюджет,Учащийся,Магистратура,Очная форма
333642,6570318,True,2,Бюджет,Учащийся,Магистратура,Очная форма
333646,2200518,True,1,Бюджет,Отчислен,Магистратура,Очная форма
335663,2680118,True,2,Бюджет,Учащийся,Магистратура,Очная форма
335664,3220218,True,2,Бюджет,Учащийся,Магистратура,Очная форма
358423,6610318,True,2,Бюджет,Отчислен,Магистратура,Очная форма
363368,2120518,False,2,Бюджет,Учащийся,Магистратура,Очная форма
372766,2780319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372769,2810319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
372772,2840319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
372774,2860319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372782,2940319,False,1,Целевой прием,Учащийся,Магистратура,Очная форма
372784,2960319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372785,2970319,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
372787,2990319,False,1,Бюджет,Учащийся,Бакалавриат,Очная форма
372788,3000319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372789,3010319,False,4,Бюджет,Учащийся,Бакалавриат,Очная форма
372791,3030319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
372795,3070319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372796,3080319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372797,3090319,False,1,Бюджет,Учащийся,Магистратура,Очная форма
372798,3100319,False,1,Бюджет,Отчислен,Магистратура,Очная форма
